Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,latitude,longitude
Argentina,98.35228072,98.347858,98.34343529,98.33901257,98.33458985,98.39689335,98.45919085,98.52148234,98.52530128,98.52086919,98.51643709,98.512005,98.50757291,98.50314082,98.49870873,98.49427664,-34.996496,-64.967282
Australia,98.16657468,98.16657468,98.16657468,98.22697175,98.28737894,98.34779627,98.40822372,98.4686613,98.52910901,98.58956685,98.65003482,98.71051291,98.77100114,98.78088466,98.79076818,98.80065171,-24.776109,134.755
Bangladesh,44.53744947,44.5429792,44.54850893,44.55403867,44.5595684,44.56509813,44.57062786,44.5761576,44.58168733,44.58721706,44.5927468,44.59827653,44.60380626,44.60933599,44.61486573,44.62039546,24.476878,90.293243
Brazil,92.82513141,93.27604918,93.72744215,94.17931033,94.63165372,95.0844723,95.53776609,95.99153509,96.44577928,96.90049868,97.17438346,97.23251328,97.29064309,97.34877291,97.40690273,97.46503255,-10.333333,-53.2
Bhutan,44.447732,44.45535144,44.46297087,44.47059031,44.47820975,44.48582919,44.49344862,44.50106806,44.5086875,44.51630694,44.52392637,44.53154581,44.53916525,44.54678469,44.55440412,44.56202356,27.549511,90.511927
Botswana,84.02397831,84.05075185,84.07752539,84.10429892,84.13107246,84.157846,84.18461953,84.21139307,84.23816661,84.26494015,84.29171368,84.31848722,84.34526076,84.37203429,84.37203429,84.37203429,-23.168178,24.592874
Chile,97.73239642,97.89823318,98.06421047,98.23032827,98.39658658,98.56298542,98.63308594,98.60175978,98.57024753,98.53854918,98.50666474,98.47459421,98.44233758,98.38069358,98.26739544,98.15409731,-31.761336,-71.31877
China,93.94650085,93.94650085,93.75698244,93.56746402,93.37794561,93.1884272,92.99890878,92.80939037,92.61987195,92.43035354,92.24083513,92.05131671,91.8617983,91.67227989,91.48276147,91.29324306,35.000074,104.999927
Cote d'Ivoire,65.998487,65.93251306,65.86653913,65.80056519,65.73459125,65.66861731,65.60264337,65.53666944,65.4706955,65.40472156,65.33874762,65.27277369,65.20679975,65.14082581,65.07485187,65.00887794,7.989737,-5.567946
Colombia,80.96590293,81.08749057,81.20907822,81.33066586,81.45225351,81.57384115,81.69542879,81.61254638,81.52905625,81.44495839,81.36025281,81.27493951,81.18901849,81.10248974,80.99343114,80.78893543,2.889443,-73.783892
Ecuador,76.94404739,77.46219244,77.9803375,78.49848255,79.01662761,79.53477266,80.05291772,80.57106277,81.08920783,81.60735288,82.12549794,82.64364299,83.16178805,83.6799331,84.19807816,84.69467801,-1.339767,-79.366696
Ethiopia,32.15687063,34.109571,35.49412746,35.67523565,35.85634384,36.03745203,36.21856022,36.39966841,36.58077661,36.7618848,36.94299299,37.12410118,37.30520937,37.48631756,37.66742575,37.84853394,10.21167,38.65212
Ghana,33.95197999,34.14131446,34.80928578,35.48253649,36.16106659,36.84487608,37.53396496,38.22833324,38.9279809,39.63290795,40.3431144,41.05860023,41.77936546,42.50541008,43.23673408,43.97333748,8.030028,-1.080027
Gambia,40.79294492,42.68634992,44.59142967,46.50818416,48.43661339,50.37671737,52.32849609,54.29194955,56.26707776,58.25388071,60.2523584,62.26251084,64.28433802,66.31783995,68.36301662,70.41986803,13.470062,-15.490046
Hong Kong SAR,98.00981412,98.1562888,98.30286059,98.44952949,98.59629551,98.74315863,98.89011887,99.03717621,99.18433067,99.33158224,99.47893092,99.62637671,99.77391961,99.92155962,100,100,39.78373,-100.445882
Iran,95.69711107,95.69711107,95.69711107,95.69711107,95.69711107,95.57826696,95.45942285,95.34057874,95.22173463,95.10289052,94.9840464,94.86520229,94.74635818,94.62751407,94.50866996,94.38982585,39.78373,-100.445882
Israel,99.39,99.39,99.39,99.39,99.39,99.39,99.39,99.39,99.39,99.39,99.39,99.39,99.39,99.39,99.39,99.39,30.876027,35.00152
Kenya,62.52895249,61.97680447,61.42705206,60.87969525,60.33473405,59.79216846,59.25199848,58.71422411,58.17884534,57.64586218,57.11527463,56.58708269,56.06128635,55.53788562,55.01688051,54.49827099,1.441968,38.431398
Kyrgyz Republic,80.41232003,80.41232003,80.60356151,80.794803,80.98604449,82.06591308,83.1499686,84.23821107,85.33064049,86.42725685,87.52806015,88.6330504,89.74222759,90.85559172,91.9495574,92.72979479,41.508932,74.724091
Cambodia,43.27189634,44.07278125,44.87366616,45.67455106,46.47543597,47.27632088,48.07720579,48.87809069,49.6789756,50.47986051,51.28074542,52.08163032,52.88251523,53.68340014,54.48428504,55.28516995,13.506639,104.869423
Latin America & Caribbean,77.4,77.37,77.33,77.29,77.24,77.2,77.15,77.08,77,76.97,76.93,76.92,76.91,76.9,76.88,76.86,39.78373,-100.445882
Sri Lanka,84.62290469,84.68534795,84.74779122,84.81023448,84.87267775,84.93512101,85.69737677,86.46066075,87.22497297,87.99031342,88.7566821,89.52407901,90.29250415,91.06195752,91.83243913,92.60394896,7.878,80.703825
Late-demographic dividend,92.93743093,93.06050682,93.05007596,93.03333499,93.01087604,92.98353348,92.95333103,92.90728286,92.85705372,92.80287355,92.71178769,92.57963728,92.44642355,92.31150549,92.17481876,92.03283364,39.78373,-100.445882
Macao SAR,99.96242424,99.96242424,99.96242424,99.96242424,99.96606061,99.96969697,99.97333333,99.9769697,99.98060606,99.98424242,99.98787879,99.99151515,99.99515152,99.99878788,100,100,39.78373,-100.445882
Morocco,86.11006473,86.28631206,86.46255939,86.63880671,86.81505404,86.99130137,87.1675487,87.34379603,87.52004335,87.69629068,87.87253801,88.04878534,88.22503267,88.40127999,88.57752732,88.75377465,31.172819,-7.336604
Monaco,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,43.630713,7.476161
Middle East & North Africa,73.15,73.44,73.88,74.39,74.93,75.97,77.04,78.14,79.23,80.29,81.29,81.87,82.43,82.97,83.52,84.06,39.78373,-100.445882
Macedonia,98.12097214,98.12097214,98.12097214,98.12097214,98.12097214,97.23407764,96.34733025,95.46072998,94.57427682,93.68797077,92.80181183,91.9158,91.02993528,90.14421768,90.14421768,90.14421768,39.78373,-100.445882
North America,99.67,99.67,99.67,99.67,99.67,99.67,99.66,99.65,99.64,99.63,99.62,99.61,99.6,99.59,99.58,99.57,39.78373,-100.445882
Nicaragua,77.83176318,77.92032203,78.00888088,78.09743974,78.18599859,78.27455744,78.3631163,78.45167515,78.540234,78.62879286,78.71735171,78.80591056,78.89446942,78.98302827,79.07158712,79.16014598,12.372493,-84.870031
Nepal,35.11841417,35.03085569,34.94329722,34.85573874,34.76818026,34.68062178,34.5930633,34.50550482,34.41794634,34.33038786,34.24282938,34.15527091,34.06771243,33.98015395,33.89259547,33.80503699,28.108393,84.091714
Pakistan,51.12095167,50.90617128,50.69139088,50.47661048,50.26183009,49.36547508,48.47497013,47.59031522,46.71151037,45.83855556,44.97145081,44.1101961,43.25479145,42.40523684,41.56153228,40.72367778,30.33084,71.247499
Peru,56.44388388,56.57312772,56.70237156,56.8316154,56.96085925,57.09010309,57.21934693,57.34859077,57.47783462,57.60707846,57.7363223,57.86556614,57.99480999,58.12405383,58.25329767,58.38254151,-6.86997,-75.045851
Rwanda,25.9611447,26.62798265,27.298751,27.97344973,28.65207885,29.33463835,30.02112824,30.71154852,31.40589919,32.10418024,32.80639168,33.51253351,34.22260573,34.93660833,35.65454132,36.3764047,-1.964663,30.064436
Singapore,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1.357107,103.819499
El Salvador,86.03773799,86.03773799,84.97003699,83.89611168,82.81596207,81.72958815,80.63698993,79.5381674,78.43312057,77.32184944,76.204354,76.38641124,76.56846848,76.75052573,76.93258297,77.11464021,13.800038,-88.914068
Sub-Saharan Africa,44.15,44.24,44.33,44.39,44.5,44.66,44.82,44.99,45.17,45.37,45.58,45.57,45.81,46.06,46.35,46.65,39.78373,-100.445882
Eswatini,67.38858388,68.8838405,70.39230938,71.91399052,73.44888391,74.99698957,76.55830749,78.13283767,79.72058011,81.32153481,82.93570177,84.56308099,86.20367247,87.06913072,87.56493394,88.06073717,-26.562481,31.399132
East Asia & Pacific (IDA & IBRD countries),93.69509266,93.70160356,93.52100699,93.34022797,93.1591861,92.97783144,92.79594277,92.61362596,92.43066654,92.245537,92.06020102,91.87444952,91.68846678,91.50240458,91.31633556,91.13028507,39.78373,-100.445882
Turkmenistan,87.30632823,87.34756755,87.38880687,87.43004619,87.47128551,87.30022216,87.12895873,86.9574952,86.78583159,86.61396788,86.44190408,86.26964019,86.09717621,85.92451214,85.72628,85.51314,39.376381,59.392461
Tanzania,8.395681435,8.476292573,8.55690371,8.637514848,11.15780812,13.72321786,16.33374408,18.98938677,21.69014594,24.43602158,27.22701369,30.06312228,32.7222191,33.00394195,33.2856648,33.56738765,-6.524712,35.787844
Uganda,25.41841164,24.90204321,24.38424373,23.86501318,23.34435158,22.8222589,22.29873517,21.77378037,21.24739451,20.71957759,20.19032961,19.65965056,19.12754045,18.59399928,18.05902704,17.52262374,1.533355,32.216658
Uruguay,93.86873951,93.86873951,93.86873951,93.86873951,93.86873951,93.92569866,93.9826578,94.03961695,94.09657609,94.15353524,94.21049439,94.26745353,94.32441268,94.38137182,94.43833097,94.49529012,-32.875555,-56.020152
United States,99.65306458,99.65306458,99.65306458,99.65306458,99.65306458,99.65306458,99.65306458,99.65306458,99.65306458,99.65306458,99.65306458,99.65306458,99.65306458,99.65306458,99.65306458,99.65306458,39.78373,-100.445882
Uzbekistan,83.53045074,84.01578818,84.50112562,84.98646305,85.47180049,85.95713793,86.44247537,86.5,86.5,86.5,86.5,86.5,86.5,86.5,86.5,86.5,41.32373,63.95281
World,84.89,84.88,84.87,84.86,84.86,84.91,84.97,85.02,85.07,85.12,85.17,85.17,85.17,85.16,85.16,85.12,39.78373,-100.445882
South Africa,90.51499785,90.54257382,90.53720338,90.53181289,90.52640234,90.52097172,90.51552104,90.51005029,90.36348385,89.60222815,88.84049319,88.07827896,87.31558548,86.55241273,85.78876072,85.02462945,-28.816624,24.991639
Zambia,48.55338623,48.42209798,48.29007195,48.15730814,48.02380653,47.88956714,47.75458996,47.61887499,47.48242223,47.34523168,47.20730335,47.06863723,46.92923332,46.78909162,46.64821214,46.50659486,-14.518624,27.559916